tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
10061,30:24.3,18:05.5,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,3618,Customer,1973,2
351,31:35.7,37:26.8,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,2352,Subscriber,1991,1
463,31:46.4,39:29.4,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2823,Subscriber,1999,1
1297,32:35.0,54:12.4,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,5384,Customer,1990,1
727,33:45.4,45:52.6,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,4408,Subscriber,1998,1
433,34:08.9,41:22.0,177,University Park,42.36264779,-71.10006094,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,297,Subscriber,1987,1
4234,37:18.0,47:52.8,81,Chinatown T Stop,42.352409,-71.062679,392,Glendale Square (Ferry St at Broadway),42.41480161,-71.0477256,2716,Customer,1969,0
255,37:44.5,41:59.8,47,Cross St at Hanover St,42.362811,-71.056067,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2348,Subscriber,1996,1
723,37:50.3,49:54.2,380,Mass Ave at Albany St,42.36135838,-71.09670274,342,Boylston St at Jersey St,42.34465063,-71.09732501,4256,Subscriber,1983,1
4220,37:52.6,48:13.4,81,Chinatown T Stop,42.352409,-71.062679,392,Glendale Square (Ferry St at Broadway),42.41480161,-71.0477256,2022,Customer,1969,0
8794,38:39.2,05:13.6,51,Washington St at Lenox St,42.33509899,-71.07903779,51,Washington St at Lenox St,42.33509899,-71.07903779,3172,Customer,1969,0
174,39:38.8,42:33.8,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,3729,Subscriber,1998,1
625,40:36.3,51:01.7,420,Charles St at Pinckney St,42.3587253,-71.07079532,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,5095,Subscriber,1999,1
1877,40:45.6,12:02.9,143,EF - North Point Park,42.369885,-71.069957,143,EF - North Point Park,42.369885,-71.069957,2747,Subscriber,1986,1
1120,41:01.7,59:42.0,57,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,405,Sydney St at Carson St,42.32039374,-71.05355408,3171,Customer,1969,0
1647,41:57.4,09:24.6,113,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365,-71.05701685,272,Shawmut T Stop,42.292917,-71.06575,4742,Subscriber,1967,1
1572,43:01.8,09:14.5,151,Surface Rd at India St,42.358155,-71.052163,39,Washington St at Rutland St,42.3385146,-71.07404083,2045,Subscriber,1994,1
654,43:33.1,54:28.1,49,Stuart St at Charles St,42.351146,-71.066289,204,Walnut Ave at Warren St,42.324081,-71.083235,2229,Customer,1969,0
1188,44:12.3,04:00.5,49,Stuart St at Charles St,42.351146,-71.066289,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,5608,Customer,1993,1
